,index,Workout,Day,Week,Exercise,Sets,Reps,obs,EXERCISE,number,image,Date
100,24,Workout B,3.0,Week 4,1. VersaClimber,1.0,300ft,,1. VersaClimber,22.0,<a href=https://doctorwho.com.br/projects/img/22.gif target='blank'><img src=https://doctorwho.com.br/projects/img/22.gif title='rent' width='150' height='150'/></a>,2022-01-18
101,24,Workout B,3.0,Week 4,2. Barbell Bench Press,10.0,3,"One set on the minute, every minute.",2. Barbell Bench Press,23.0,<a href=https://doctorwho.com.br/projects/img/23.gif target='blank'><img src=https://doctorwho.com.br/projects/img/23.gif title='rent' width='150' height='150'/></a>,2022-01-18
102,24,Workout B,3.0,Week 4,1B. Lat Pulldown,3.0,8,,1B. Lat Pulldown,24.0,<a href=https://doctorwho.com.br/projects/img/24.gif target='blank'><img src=https://doctorwho.com.br/projects/img/24.gif title='rent' width='150' height='150'/></a>,2022-01-18
103,24,Workout B,3.0,Week 4,2B. Corner Press,3.0,8,,2B. Corner Press,25.0,<a href=https://doctorwho.com.br/projects/img/25.gif target='blank'><img src=https://doctorwho.com.br/projects/img/25.gif title='rent' width='150' height='150'/></a>,2022-01-18
104,24,Workout B,3.0,Week 4,3B. Sled Row,3.0,40m,,3B. Sled Row,26.0,<a href=https://doctorwho.com.br/projects/img/26.gif target='blank'><img src=https://doctorwho.com.br/projects/img/26.gif title='rent' width='150' height='150'/></a>,2022-01-18
105,24,Workout B,3.0,Week 4,4. VersaClimber,1.0,300ft,,4. VersaClimber,27.0,<a href=https://doctorwho.com.br/projects/img/27.gif target='blank'><img src=https://doctorwho.com.br/projects/img/27.gif title='rent' width='150' height='150'/></a>,2022-01-18
106,25,Rest Day,4.0,Week 4,Rest Day,,,,,,,2022-01-19
107,26,Workout C,5.0,Week 4,1. Run,1.0,1/2 mile,,1. Run,28.0,<a href=https://doctorwho.com.br/projects/img/28.gif target='blank'><img src=https://doctorwho.com.br/projects/img/28.gif title='rent' width='150' height='150'/></a>,2022-01-20
108,26,Workout C,5.0,Week 4,2. Barbell Back Squat,10.0,3,"One set on the minute, every minute.",2. Barbell Back Squat,29.0,<a href=https://doctorwho.com.br/projects/img/29.gif target='blank'><img src=https://doctorwho.com.br/projects/img/29.gif title='rent' width='150' height='150'/></a>,2022-01-20
109,26,Workout C,5.0,Week 4,1B. Romanian Deadlift,3.0,8,,1B. Romanian Deadlift,30.0,<a href=https://doctorwho.com.br/projects/img/30.gif target='blank'><img src=https://doctorwho.com.br/projects/img/30.gif title='rent' width='150' height='150'/></a>,2022-01-20
110,26,Workout C,5.0,Week 4,2B. Single-Arm Dumbbell Row,3.0,8,,2B. Single-Arm Dumbbell Row,31.0,<a href=https://doctorwho.com.br/projects/img/31.gif target='blank'><img src=https://doctorwho.com.br/projects/img/31.gif title='rent' width='150' height='150'/></a>,2022-01-20
111,26,Workout C,5.0,Week 4,3B. Prowler Chest Press,3.0,20m,,3B. Prowler Chest Press,32.0,<a href=https://doctorwho.com.br/projects/img/32.gif target='blank'><img src=https://doctorwho.com.br/projects/img/32.gif title='rent' width='150' height='150'/></a>,2022-01-20
112,26,Workout C,5.0,Week 4,4. Run,1.0,1/2 mile,,4. Run,33.0,<a href=https://doctorwho.com.br/projects/img/33.gif target='blank'><img src=https://doctorwho.com.br/projects/img/33.gif title='rent' width='150' height='150'/></a>,2022-01-20
113,27,Intervals,6.0,Week 4,Cardio: 30-60-90 Intervals,,,,Cardio: 30-60-90 Intervals,15.0,<a href=https://doctorwho.com.br/projects/img/15.gif target='blank'><img src=https://doctorwho.com.br/projects/img/15.gif title='rent' width='150' height='150'/></a>,2022-01-21
114,28,Rest Day,7.0,Week 4,Rest Day,,,,,,,2022-01-22
115,29,Workout A,1.0,Week 5,1. Rower,1.0,500m,,1. Rower,16.0,<a href=https://doctorwho.com.br/projects/img/16.gif target='blank'><img src=https://doctorwho.com.br/projects/img/16.gif title='rent' width='150' height='150'/></a>,2022-01-23
116,29,Workout A,1.0,Week 5,2. Trap Bar Deadlift,10.0,4,"One set on the minute, every minute.",2. Trap Bar Deadlift,17.0,<a href=https://doctorwho.com.br/projects/img/17.gif target='blank'><img src=https://doctorwho.com.br/projects/img/17.gif title='rent' width='150' height='150'/></a>,2022-01-23
117,29,Workout A,1.0,Week 5,1B. Lying Hamstring Curl,3.0,10,,1B. Lying Hamstring Curl,18.0,<a href=https://doctorwho.com.br/projects/img/18.gif target='blank'><img src=https://doctorwho.com.br/projects/img/18.gif title='rent' width='150' height='150'/></a>,2022-01-23
118,29,Workout A,1.0,Week 5,2B. Sandbag Split Squat,3.0,10,,2B. Sandbag Split Squat,19.0,<a href=https://doctorwho.com.br/projects/img/19.gif target='blank'><img src=https://doctorwho.com.br/projects/img/19.gif title='rent' width='150' height='150'/></a>,2022-01-23
119,29,Workout A,1.0,Week 5,3B. Backwards Prowler Drive,3.0,20m,,3B. Backwards Prowler Drive,20.0,<a href=https://doctorwho.com.br/projects/img/20.gif target='blank'><img src=https://doctorwho.com.br/projects/img/20.gif title='rent' width='150' height='150'/></a>,2022-01-23
120,29,Workout A,1.0,Week 5,4. Rower,1.0,500m,,4. Rower,21.0,<a href=https://doctorwho.com.br/projects/img/21.gif target='blank'><img src=https://doctorwho.com.br/projects/img/21.gif title='rent' width='150' height='150'/></a>,2022-01-23
121,30,Intervals,2.0,Week 5,Cardio: 30-60-90 Intervals,,,,Cardio: 30-60-90 Intervals,15.0,<a href=https://doctorwho.com.br/projects/img/15.gif target='blank'><img src=https://doctorwho.com.br/projects/img/15.gif title='rent' width='150' height='150'/></a>,2022-01-24
122,31,Workout B,3.0,Week 5,1. VersaClimber,1.0,300ft,,1. VersaClimber,22.0,<a href=https://doctorwho.com.br/projects/img/22.gif target='blank'><img src=https://doctorwho.com.br/projects/img/22.gif title='rent' width='150' height='150'/></a>,2022-01-25
123,31,Workout B,3.0,Week 5,2. Barbell Bench Press,10.0,4,"One set on the minute, every minute.",2. Barbell Bench Press,23.0,<a href=https://doctorwho.com.br/projects/img/23.gif target='blank'><img src=https://doctorwho.com.br/projects/img/23.gif title='rent' width='150' height='150'/></a>,2022-01-25
124,31,Workout B,3.0,Week 5,1B. Lat Pulldown,3.0,10,,1B. Lat Pulldown,24.0,<a href=https://doctorwho.com.br/projects/img/24.gif target='blank'><img src=https://doctorwho.com.br/projects/img/24.gif title='rent' width='150' height='150'/></a>,2022-01-25
125,31,Workout B,3.0,Week 5,2B. Corner Press,3.0,10,,2B. Corner Press,25.0,<a  href=https://doctorwho.com.br/projects/img/25.gif target='blank'><img src=https://doctorwho.com.br/projects/img/25.gif title='rent' width='150' height='150'/></a>,2022-01-25
126,31,Workout B,3.0,Week 5,3B. Sled Row,3.0,40m,,3B. Sled Row,26.0,<a href=https://doctorwho.com.br/projects/img/26.gif target='blank'><img src=https://doctorwho.com.br/projects/img/26.gif title='rent' width='150' height='150'/></a>,2022-01-25
127,31,Workout B,3.0,Week 5,4. VersaClimber,1.0,300ft,,4. VersaClimber,27.0,<a href=https://doctorwho.com.br/projects/img/27.gif target='blank'><img src=https://doctorwho.com.br/projects/img/27.gif title='rent' width='150' height='150'/></a>,2022-01-25
128,32,Rest Day,4.0,Week 5,Rest Day,,,,,,,2022-01-26
129,33,Workout C,5.0,Week 5,1. Run,1.0,1/2 mile,,1. Run,28.0,<a href=https://doctorwho.com.br/projects/img/28.gif target='blank'><img src=https://doctorwho.com.br/projects/img/28.gif title='rent' width='150' height='150'/></a>,2022-01-27
130,33,Workout C,5.0,Week 5,2. Barbell Back Squat,10.0,4,"One set on the minute, every minute.",2. Barbell Back Squat,29.0,<a href=https://doctorwho.com.br/projects/img/29.gif target='blank'><img src=https://doctorwho.com.br/projects/img/29.gif title='rent' width='150' height='150'/></a>,2022-01-27
131,33,Workout C,5.0,Week 5,1B. Romanian Deadlift,3.0,10,,1B. Romanian Deadlift,30.0,<a href=https://doctorwho.com.br/projects/img/30.gif target='blank'><img src=https://doctorwho.com.br/projects/img/30.gif title='rent' width='150' height='150'/></a>,2022-01-27
132,33,Workout C,5.0,Week 5,2B. Single-Arm Dumbbell Row,3.0,10,,2B. Single-Arm Dumbbell Row,31.0,<a href=https://doctorwho.com.br/projects/img/31.gif target='blank'><img src=https://doctorwho.com.br/projects/img/31.gif title='rent' width='150' height='150'/></a>,2022-01-27
133,33,Workout C,5.0,Week 5,3B. Prowler Chest Press,3.0,20m,,3B. Prowler Chest Press,32.0,<a href=https://doctorwho.com.br/projects/img/32.gif target='blank'><img src=https://doctorwho.com.br/projects/img/32.gif title='rent' width='150' height='150'/></a>,2022-01-27
134,33,Workout C,5.0,Week 5,4. Run,1.0,1/2 mile,,4. Run,33.0,<a href=https://doctorwho.com.br/projects/img/33.gif target='blank'><img src=https://doctorwho.com.br/projects/img/33.gif title='rent' width='150' height='150'/></a>,2022-01-27
135,34,Intervals,6.0,Week 5,Cardio: 30-60-90 Intervals,,,,Cardio: 30-60-90 Intervals,15.0,<a href=https://doctorwho.com.br/projects/img/15.gif target='blank'><img src=https://doctorwho.com.br/projects/img/15.gif title='rent' width='150' height='150'/></a>,2022-01-28
136,35,Rest Day,7.0,Week 5,Rest Day,,,,,,,2022-01-29
137,36,Workout A,1.0,Week 6,1. Rower,1.0,500m,,1. Rower,16.0,<a href=https://doctorwho.com.br/projects/img/16.gif target='blank'><img src=https://doctorwho.com.br/projects/img/16.gif title='rent' width='150' height='150'/></a>,2022-01-30
138,36,Workout A,1.0,Week 6,2. Trap Bar Deadlift,10.0,4,"One set on the minute, every minute.",2. Trap Bar Deadlift,17.0,<a href=https://doctorwho.com.br/projects/img/17.gif target='blank'><img src=https://doctorwho.com.br/projects/img/17.gif title='rent' width='150' height='150'/></a>,2022-01-30
139,36,Workout A,1.0,Week 6,1B. Lying Hamstring Curl,3.0,10,,1B. Lying Hamstring Curl,18.0,<a href=https://doctorwho.com.br/projects/img/18.gif target='blank'><img src=https://doctorwho.com.br/projects/img/18.gif title='rent' width='150' height='150'/></a>,2022-01-30
140,36,Workout A,1.0,Week 6,2B. Sandbag Split Squat,3.0,10,,2B. Sandbag Split Squat,19.0,<a href=https://doctorwho.com.br/projects/img/19.gif target='blank'><img src=https://doctorwho.com.br/projects/img/19.gif title='rent' width='150' height='150'/></a>,2022-01-30
141,36,Workout A,1.0,Week 6,3B. Backwards Prowler Drive,3.0,20m,,3B. Backwards Prowler Drive,20.0,<a href=https://doctorwho.com.br/projects/img/20.gif target='blank'><img src=https://doctorwho.com.br/projects/img/20.gif title='rent' width='150' height='150'/></a>,2022-01-30
142,36,Workout A,1.0,Week 6,4. Rower,1.0,500m,,4. Rower,21.0,<a href=https://doctorwho.com.br/projects/img/21.gif target='blank'><img src=https://doctorwho.com.br/projects/img/21.gif title='rent' width='150' height='150'/></a>,2022-01-30
143,37,Intervals,2.0,Week 6,Cardio: 30-60-90 Intervals,,,,Cardio: 30-60-90 Intervals,15.0,<a href=https://doctorwho.com.br/projects/img/15.gif target='blank'><img src=https://doctorwho.com.br/projects/img/15.gif title='rent' width='150' height='150'/></a>,2022-01-31
144,38,Workout B,3.0,Week 6,1. VersaClimber,1.0,300ft,,1. VersaClimber,22.0,<a href=https://doctorwho.com.br/projects/img/22.gif target='blank'><img src=https://doctorwho.com.br/projects/img/22.gif title='rent' width='150' height='150'/></a>,2022-02-01
145,38,Workout B,3.0,Week 6,2. Barbell Bench Press,10.0,4,"One set on the minute, every minute.",2. Barbell Bench Press,23.0,<a href=https://doctorwho.com.br/projects/img/23.gif target='blank'><img src=https://doctorwho.com.br/projects/img/23.gif title='rent' width='150' height='150'/></a>,2022-02-01
146,38,Workout B,3.0,Week 6,1B. Lat Pulldown,3.0,10,,1B. Lat Pulldown,24.0,<a href=https://doctorwho.com.br/projects/img/24.gif target='blank'><img src=https://doctorwho.com.br/projects/img/24.gif title='rent' width='150' height='150'/></a>,2022-02-01
147,38,Workout B,3.0,Week 6,2B. Corner Press,3.0,10,,2B. Corner Press,25.0,<a href=https://doctorwho.com.br/projects/img/25.gif target='blank'><img src=https://doctorwho.com.br/projects/img/25.gif title='rent' width='150' height='150'/></a>,2022-02-01
148,38,Workout B,3.0,Week 6,3B. Sled Row,3.0,40m,,3B. Sled Row,26.0,<a href=https://doctorwho.com.br/projects/img/26.gif target='blank'><img src=https://doctorwho.com.br/projects/img/26.gif title='rent' width='150' height='150'/></a>,2022-02-01
149,38,Workout B,3.0,Week 6,4. VersaClimber,1.0,300ft,,4. VersaClimber,27.0,<a href=https://doctorwho.com.br/projects/img/27.gif target='blank'><img src=https://doctorwho.com.br/projects/img/27.gif title='rent' width='150' height='150'/></a>,2022-02-01
150,39,Rest Day,4.0,Week 6,Rest Day,,,,,,,2022-02-02
151,40,Workout C,5.0,Week 6,1. Run,1.0,1/2 mile,,1. Run,28.0,<a href=https://doctorwho.com.br/projects/img/28.gif target='blank'><img src=https://doctorwho.com.br/projects/img/28.gif title='rent' width='150' height='150'/></a>,2022-02-03
152,40,Workout C,5.0,Week 6,2. Barbell Back Squat,10.0,4,"One set on the minute, every minute.",2. Barbell Back Squat,29.0,<a href=https://doctorwho.com.br/projects/img/29.gif target='blank'><img src=https://doctorwho.com.br/projects/img/29.gif title='rent' width='150' height='150'/></a>,2022-02-03
153,40,Workout C,5.0,Week 6,1B. Romanian Deadlift,3.0,10,,1B. Romanian Deadlift,30.0,<a href=https://doctorwho.com.br/projects/img/30.gif target='blank'><img src=https://doctorwho.com.br/projects/img/30.gif title='rent' width='150' height='150'/></a>,2022-02-03
154,40,Workout C,5.0,Week 6,2B. Single-Arm Dumbbell Row,3.0,10,,2B. Single-Arm Dumbbell Row,31.0,<a href=https://doctorwho.com.br/projects/img/31.gif target='blank'><img src=https://doctorwho.com.br/projects/img/31.gif title='rent' width='150' height='150'/></a>,2022-02-03
155,40,Workout C,5.0,Week 6,3B. Prowler Chest Press,3.0,20m,,3B. Prowler Chest Press,32.0,<a href=https://doctorwho.com.br/projects/img/32.gif target='blank'><img src=https://doctorwho.com.br/projects/img/32.gif title='rent' width='150' height='150'/></a>,2022-02-03
156,40,Workout C,5.0,Week 6,4. Run,1.0,1/2 mile,,4. Run,33.0,<a href=https://doctorwho.com.br/projects/img/33.gif target='blank'><img src=https://doctorwho.com.br/projects/img/33.gif title='rent' width='150' height='150'/></a>,2022-02-03
157,41,Intervals,6.0,Week 6,Cardio: 30-60-90 Intervals,,,,Cardio: 30-60-90 Intervals,15.0,<a href=https://doctorwho.com.br/projects/img/15.gif target='blank'><img src=https://doctorwho.com.br/projects/img/15.gif title='rent' width='150' height='150'/></a>,2022-02-04
158,42,Rest Day,7.0,Week 6,Rest Day,,,,,,,2022-02-05
159,43,Workout A,1.0,Week 7,1A. Barbell Back Squat,3.0,8,,1A. Barbell Back Squat,34.0,<a href=https://doctorwho.com.br/projects/img/34.gif target='blank'><img src=https://doctorwho.com.br/projects/img/34.gif title='rent' width='150' height='150'/></a>,2022-02-06
160,43,Workout A,1.0,Week 7,2A. Seated Dumbbell Shoulder Press,3.0,10,,2A. Seated Dumbbell Shoulder Press,35.0,<a href=https://doctorwho.com.br/projects/img/35.gif target='blank'><img src=https://doctorwho.com.br/projects/img/35.gif title='rent' width='150' height='150'/></a>,2022-02-06
161,43,Workout A,1.0,Week 7,3A. Dumbbell Stepups,3.0,10,,3A. Dumbbell Stepups,36.0,<a href=https://doctorwho.com.br/projects/img/36.gif target='blank'><img src=https://doctorwho.com.br/projects/img/36.gif title='rent' width='150' height='150'/></a>,2022-02-06
162,43,Workout A,1.0,Week 7,4A. Prowler Drive,3.0,40m,,4A. Prowler Drive,37.0,<a href=https://doctorwho.com.br/projects/img/37.gif target='blank'><img src=https://doctorwho.com.br/projects/img/37.gif title='rent' width='150' height='150'/></a>,2022-02-06
163,43,Workout A,1.0,Week 7,1B. Pullups,3.0,8,,1B. Pullups,38.0,<a href=https://doctorwho.com.br/projects/img/38.gif target='blank'><img src=https://doctorwho.com.br/projects/img/38.gif title='rent' width='150' height='150'/></a>,2022-02-06
164,43,Workout A,1.0,Week 7,2B. Walking Lunge,3.0,10,,2B. Walking Lunge,39.0,<a href=https://doctorwho.com.br/projects/img/39.gif target='blank'><img src=https://doctorwho.com.br/projects/img/39.gif title='rent' width='150' height='150'/></a>,2022-02-06
165,43,Workout A,1.0,Week 7,3B. Pushups,3.0,12,,3B. Pushups,40.0,<a href=https://doctorwho.com.br/projects/img/40.gif target='blank'><img src=https://doctorwho.com.br/projects/img/40.gif title='rent' width='150' height='150'/></a>,2022-02-06
166,43,Workout A,1.0,Week 7,4B. Farmer’s Walk,3.0,40m,,,,,2022-02-06
167,44,Workout B,2.0,Week 7,1A. Sumo Deadlift,3.0,8,,1A. Sumo Deadlift,42.0,<a href=https://doctorwho.com.br/projects/img/42.gif target='blank'><img src=https://doctorwho.com.br/projects/img/42.gif title='rent' width='150' height='150'/></a>,2022-02-07
168,44,Workout B,2.0,Week 7,2A. Seated Cable Row,3.0,10,,2A. Seated Cable Row,43.0,<a href=https://doctorwho.com.br/projects/img/43.gif target='blank'><img src=https://doctorwho.com.br/projects/img/43.gif title='rent' width='150' height='150'/></a>,2022-02-07
169,44,Workout B,2.0,Week 7,3A. Alternating Stepback Lunge,3.0,10,,3A. Alternating Stepback Lunge,44.0,<a href=https://doctorwho.com.br/projects/img/44.gif target='blank'><img src=https://doctorwho.com.br/projects/img/44.gif title='rent' width='150' height='150'/></a>,2022-02-07
170,44,Workout B,2.0,Week 7,4A. Dumbbell Curl to Overhead Press,3.0,12,,4A. Dumbbell Curl to Overhead Press,45.0,<a href=https://doctorwho.com.br/projects/img/45.gif target='blank'><img src=https://doctorwho.com.br/projects/img/45.gif title='rent' width='150' height='150'/></a>,2022-02-07
171,44,Workout B,2.0,Week 7,1B. Incline Dumbbell Chest Press,3.0,8,,1B. Incline Dumbbell Chest Press,46.0,<a href=https://doctorwho.com.br/projects/img/46.gif target='blank'><img src=https://doctorwho.com.br/projects/img/46.gif title='rent' width='150' height='150'/></a>,2022-02-07
172,44,Workout B,2.0,Week 7,2B. Lying Hamstring Curl,3.0,10,,2B. Lying Hamstring Curl,47.0,<a href=https://doctorwho.com.br/projects/img/47.gif target='blank'><img src=https://doctorwho.com.br/projects/img/47.gif title='rent' width='150' height='150'/></a>,2022-02-07
173,44,Workout B,2.0,Week 7,3B. Cable Triceps Rope Pressdown,3.0,12,,3B. Cable Triceps Rope Pressdown,48.0,<a href=https://doctorwho.com.br/projects/img/48.gif target='blank'><img src=https://doctorwho.com.br/projects/img/48.gif title='rent' width='150' height='150'/></a>,2022-02-07
174,44,Workout B,2.0,Week 7,4B. Hanging Leg Raise,3.0,12,,4B. Hanging Leg Raise,49.0,<a href=https://doctorwho.com.br/projects/img/49.gif target='blank'><img src=https://doctorwho.com.br/projects/img/49.gif title='rent' width='150' height='150'/></a>,2022-02-07
175,45,Intervals,3.0,Week 7,Cardio: 30-60-90 Intervals,,,,Cardio: 30-60-90 Intervals,15.0,<a href=https://doctorwho.com.br/projects/img/15.gif target='blank'><img src=https://doctorwho.com.br/projects/img/15.gif title='rent' width='150' height='150'/></a>,2022-02-08
176,46,Workout A,4.0,Week 7,1A. Barbell Back Squat,3.0,8,,1A. Barbell Back Squat,34.0,<a href=https://doctorwho.com.br/projects/img/34.gif target='blank'><img src=https://doctorwho.com.br/projects/img/34.gif title='rent' width='150' height='150'/></a>,2022-02-09
177,46,Workout A,4.0,Week 7,2A. Seated Dumbbell Shoulder Press,3.0,10,,2A. Seated Dumbbell Shoulder Press,35.0,<a href=https://doctorwho.com.br/projects/img/35.gif target='blank'><img src=https://doctorwho.com.br/projects/img/35.gif title='rent' width='150' height='150'/></a>,2022-02-09
178,46,Workout A,4.0,Week 7,3A. Dumbbell Stepups,3.0,10,,3A. Dumbbell Stepups,36.0,<a href=https://doctorwho.com.br/projects/img/36.gif target='blank'><img src=https://doctorwho.com.br/projects/img/36.gif title='rent' width='150' height='150'/></a>,2022-02-09
179,46,Workout A,4.0,Week 7,4A. Prowler Drive,3.0,40m,,4A. Prowler Drive,37.0,<a href=https://doctorwho.com.br/projects/img/37.gif target='blank'><img src=https://doctorwho.com.br/projects/img/37.gif title='rent' width='150' height='150'/></a>,2022-02-09
180,46,Workout A,4.0,Week 7,1B. Pullups,3.0,8,,1B. Pullups,38.0,<a href=https://doctorwho.com.br/projects/img/38.gif target='blank'><img src=https://doctorwho.com.br/projects/img/38.gif title='rent' width='150' height='150'/></a>,2022-02-09
181,46,Workout A,4.0,Week 7,2B. Walking Lunge,3.0,10,,2B. Walking Lunge,39.0,<a href=https://doctorwho.com.br/projects/img/39.gif target='blank'><img src=https://doctorwho.com.br/projects/img/39.gif title='rent' width='150' height='150'/></a>,2022-02-09
182,46,Workout A,4.0,Week 7,3B. Pushups,3.0,12,,3B. Pushups,40.0,<a href=https://doctorwho.com.br/projects/img/40.gif target='blank'><img src=https://doctorwho.com.br/projects/img/40.gif title='rent' width='150' height='150'/></a>,2022-02-09
183,46,Workout A,4.0,Week 7,4B. Farmer’s Walk,3.0,40m,,,,,2022-02-09
184,47,Intervals,5.0,Week 7,Cardio: 30-60-90 Intervals,,,,Cardio: 30-60-90 Intervals,15.0,<a href=https://doctorwho.com.br/projects/img/15.gif target='blank'><img src=https://doctorwho.com.br/projects/img/15.gif title='rent' width='150' height='150'/></a>,2022-02-10
185,48,Workout B,6.0,Week 7,1A. Sumo Deadlift,3.0,8,,1A. Sumo Deadlift,42.0,<a href=https://doctorwho.com.br/projects/img/42.gif target='blank'><img src=https://doctorwho.com.br/projects/img/42.gif title='rent' width='150' height='150'/></a>,2022-02-11
186,48,Workout B,6.0,Week 7,2A. Seated Cable Row,3.0,10,,2A. Seated Cable Row,43.0,<a href=https://doctorwho.com.br/projects/img/43.gif target='blank'><img src=https://doctorwho.com.br/projects/img/43.gif title='rent' width='150' height='150'/></a>,2022-02-11
187,48,Workout B,6.0,Week 7,3A. Alternating Stepback Lunge,3.0,10,,3A. Alternating Stepback Lunge,44.0,<a href=https://doctorwho.com.br/projects/img/44.gif target='blank'><img src=https://doctorwho.com.br/projects/img/44.gif title='rent' width='150' height='150'/></a>,2022-02-11
188,48,Workout B,6.0,Week 7,4A. Dumbbell Curl to Overhead Press,3.0,12,,4A. Dumbbell Curl to Overhead Press,45.0,<a href=https://doctorwho.com.br/projects/img/45.gif target='blank'><img src=https://doctorwho.com.br/projects/img/45.gif title='rent' width='150' height='150'/></a>,2022-02-11
189,48,Workout B,6.0,Week 7,1B. Incline Dumbbell Chest Press,3.0,8,,1B. Incline Dumbbell Chest Press,46.0,<a href=https://doctorwho.com.br/projects/img/46.gif target='blank'><img src=https://doctorwho.com.br/projects/img/46.gif title='rent' width='150' height='150'/></a>,2022-02-11
190,48,Workout B,6.0,Week 7,2B. Lying Hamstring Curl,3.0,10,,2B. Lying Hamstring Curl,47.0,<a href=https://doctorwho.com.br/projects/img/47.gif target='blank'><img src=https://doctorwho.com.br/projects/img/47.gif title='rent' width='150' height='150'/></a>,2022-02-11
191,48,Workout B,6.0,Week 7,3B. Cable Triceps Rope Pressdown,3.0,12,,3B. Cable Triceps Rope Pressdown,48.0,<a href=https://doctorwho.com.br/projects/img/48.gif target='blank'><img src=https://doctorwho.com.br/projects/img/48.gif title='rent' width='150' height='150'/></a>,2022-02-11
192,48,Workout B,6.0,Week 7,4B. Hanging Leg Raise,3.0,12,,4B. Hanging Leg Raise,49.0,<a href=https://doctorwho.com.br/projects/img/49.gif target='blank'><img src=https://doctorwho.com.br/projects/img/49.gif title='rent' width='150' height='150'/></a>,2022-02-11
193,49,Rest Day,7.0,Week 7,Rest Day,,,,,,,2022-02-12
194,50,Workout A,1.0,Week 8,1A. Barbell Back Squat,3.0,10,,1A. Barbell Back Squat,34.0,<a href=https://doctorwho.com.br/projects/img/34.gif target='blank'><img src=https://doctorwho.com.br/projects/img/34.gif title='rent' width='150' height='150'/></a>,2022-02-13
195,50,Workout A,1.0,Week 8,2A. Seated Dumbbell Shoulder Press,3.0,12,,2A. Seated Dumbbell Shoulder Press,35.0,<a href=https://doctorwho.com.br/projects/img/35.gif target='blank'><img src=https://doctorwho.com.br/projects/img/35.gif title='rent' width='150' height='150'/></a>,2022-02-13
196,50,Workout A,1.0,Week 8,3A. Dumbbell Stepups,3.0,12,,3A. Dumbbell Stepups,36.0,<a href=https://doctorwho.com.br/projects/img/36.gif target='blank'><img src=https://doctorwho.com.br/projects/img/36.gif title='rent' width='150' height='150'/></a>,2022-02-13
197,50,Workout A,1.0,Week 8,4A. Prowler Drive,3.0,40m,,4A. Prowler Drive,37.0,<a href=https://doctorwho.com.br/projects/img/37.gif target='blank'><img src=https://doctorwho.com.br/projects/img/37.gif title='rent' width='150' height='150'/></a>,2022-02-13
198,50,Workout A,1.0,Week 8,1B. Pullups,3.0,10,,1B. Pullups,38.0,<a href=https://doctorwho.com.br/projects/img/38.gif target='blank'><img src=https://doctorwho.com.br/projects/img/38.gif title='rent' width='150' height='150'/></a>,2022-02-13
199,50,Workout A,1.0,Week 8,2B. Walking Lunge,3.0,12,,2B. Walking Lunge,39.0,<a href=https://doctorwho.com.br/projects/img/39.gif target='blank'><img src=https://doctorwho.com.br/projects/img/39.gif title='rent' width='150' height='150'/></a>,2022-02-13
200,50,Workout A,1.0,Week 8,3B. Pushups,3.0,12,,3B. Pushups,40.0,<a href=https://doctorwho.com.br/projects/img/40.gif target='blank'><img src=https://doctorwho.com.br/projects/img/40.gif title='rent' width='150' height='150'/></a>,2022-02-13
201,50,Workout A,1.0,Week 8,4B. Farmer’s Walk,3.0,40m,,,,,2022-02-13
202,51,Workout B,2.0,Week 8,1A. Sumo Deadlift,3.0,10,,1A. Sumo Deadlift,42.0,<a href=https://doctorwho.com.br/projects/img/42.gif target='blank'><img src=https://doctorwho.com.br/projects/img/42.gif title='rent' width='150' height='150'/></a>,2022-02-14
203,51,Workout B,2.0,Week 8,2A. Seated Cable Row,3.0,12,,2A. Seated Cable Row,43.0,<a href=https://doctorwho.com.br/projects/img/43.gif target='blank'><img src=https://doctorwho.com.br/projects/img/43.gif title='rent' width='150' height='150'/></a>,2022-02-14
204,51,Workout B,2.0,Week 8,3A. Alternating Stepback Lunge,3.0,12,,3A. Alternating Stepback Lunge,44.0,<a href=https://doctorwho.com.br/projects/img/44.gif target='blank'><img src=https://doctorwho.com.br/projects/img/44.gif title='rent' width='150' height='150'/></a>,2022-02-14
205,51,Workout B,2.0,Week 8,4A. Dumbbell Curl to Overhead Press,3.0,15,,4A. Dumbbell Curl to Overhead Press,45.0,<a href=https://doctorwho.com.br/projects/img/45.gif target='blank'><img src=https://doctorwho.com.br/projects/img/45.gif title='rent' width='150' height='150'/></a>,2022-02-14
206,51,Workout B,2.0,Week 8,1B. Incline Dumbbell Chest Press,3.0,10,,1B. Incline Dumbbell Chest Press,46.0,<a href=https://doctorwho.com.br/projects/img/46.gif target='blank'><img src=https://doctorwho.com.br/projects/img/46.gif title='rent' width='150' height='150'/></a>,2022-02-14
207,51,Workout B,2.0,Week 8,2B. Lying Hamstring Curl,3.0,12,,2B. Lying Hamstring Curl,47.0,<a href=https://doctorwho.com.br/projects/img/47.gif target='blank'><img src=https://doctorwho.com.br/projects/img/47.gif title='rent' width='150' height='150'/></a>,2022-02-14
208,51,Workout B,2.0,Week 8,3B. Cable Triceps Rope Pressdown,3.0,15,,3B. Cable Triceps Rope Pressdown,48.0,<a href=https://doctorwho.com.br/projects/img/48.gif target='blank'><img src=https://doctorwho.com.br/projects/img/48.gif title='rent' width='150' height='150'/></a>,2022-02-14
